book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
a3492d76-bc4e-4896-84df-0d7f2bfc5233,fiction,Cross-Cultural Connections in Crime Fictions,N/A,"V. Miller, H. Oakley","A collection of ten original essays forging new interdisciplinary connections between crime fiction and film, encompassing British, Swedish, American and Canadian contexts. The authors explore representations of race, gender, sexuality and memory, and challenge traditional categorisations of academic and professional crime writing.","9781137016768, 1137016760",True,True,192,Performing Arts,en,http://books.google.com/books/content?id=SPy5J5U8vGoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=SPy5J5U8vGoC&source=gbs_api,2012,Springer
74d7f89a-c28c-4781-9c2e-9edb80d7a3b4,fiction,The Encyclopaedia Britannica,"A Dictionary of Arts, Sciences, Liter Ature and General Information",Hugh Chisholm,No Description,UOM:39015015204509,False,False,1016,Encyclopedias and dictionaries,en,http://books.google.com/books/content?id=7T8OAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=7T8OAQAAMAAJ&dq=fiction&hl=&source=gbs_api,1911,N/A
a4c7788d-c19b-4753-a728-a9df49311316,fiction,A Shock,N/A,Keith Ridgway,"A Shock inhabits the secret life of a city, its hidden energies. It dramatizes how patterns form and then disperse, how stories are made and relationships created . . . remarkable' - Colm Tóibín, author of Brooklyn 'Political, pertinent, spunky and funny, A Shock is a grand sweep of modern storytelling' - June Caldwell, author of Room Little Darker In A Shock, a clutch of more or less loosely connected characters appear, disappear and reappear. They are all of them on the fringes of London life, often clinging on – to sanity or solvency or a story – by their fingertips. Keith Ridgway, author of the acclaimed Hawthorn & Child, writes about people whose understanding of their own situation is only ever partial and fuzzy, who are consumed by emotions and anxieties and narratives, or the lack thereof, that they cannot master. He focuses on peripheral figures who mean well and to whom things happen, and happen confusingly, and his fictional strategies reflect this focus. In a deftly conjured high-wire act, Ridgway achieves the fine balance between the imperatives of drama and fidelity to his characters. The result is pin-sharp and often breathtaking. 'A Shock is a perfect, living circle of beauty and mystery, clearsighted and compassionate, and, at times, wonderfully funny’ - David Hayden, author of Darker With the Lights On","9781761685705, 1761685708",True,False,277,Fiction,en,http://books.google.com/books/content?id=SRguEQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=SRguEQAAQBAJ&dq=fiction&hl=&source=gbs_api,2022,Picador
c19c930d-92ac-45e3-9779-4d5d7333cdb6,fiction,One Indian Girl,N/A,Chetan Bhagaot,"Chetan Bhagaot is author of one blockbuster book, ""One Indian Girl."" The New York times did not call him anything yet, USA detains him in airport every time he visits USA, Bhagaot got fired from an ""Investment Bank"" and trying to make a living out of writing books, Chetan Bhagaot is currently double timing his two Half Girlfriends Panusha and Ranusha. Please buy his book to support him maintaining his two half girlfriends. Here is one paragraph excerpt from the book ""One Indian Girl."" Sonja is a divorced and attractive Indian girl. She is working as a software engineer in an investment bank, USA. She has money ($$$$), she can afford sex outside marriage. She also has opinion on everything. She is dating various marriage prospects, will she get her dream guy?","1537262874, 9781537262871",False,False,122,N/A,en,http://books.google.com/books/content?id=EIBYvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,5,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=EIBYvgAACAAJ&dq=fiction&hl=&source=gbs_api,2016,Createspace Independent Publishing Platform
139632c7-caf1-448d-b670-77ba778a8b22,fiction,Aesthetics and the Sciences of Mind,N/A,"Greg Currie, Matthew Kieran, Aaron Meskin, Jon Robson","Through much of the twentieth century, philosophical thinking about works of art, design, and other aesthetic products has emphasized intuitive and reflective methods, often tied to the idea that philosophy's business is primarily to analyze concepts. This 'philosophy from the armchair' approach contrasts with methods used by psychologists, sociologists, evolutionary thinkers, and others who study the making and reception of the arts empirically. How far should philosophers be sensitive to the results of these studies? Is their own largely a priori method basically flawed? Are their views on aesthetic value, interpretation, imagination, and the emotions of art to be rethought in the light of best science? The essays in this volume seek answers to these questions, many through detailed studies of problems traditionally regarded as philosophical but where empirical inquiry seems to be shedding interesting light. No common view is looked for or found in this volume: a number of authors argue that the current enthusiasm for scientific approaches to aesthetics is based on a misunderstanding of the philosophical enterprise and sometimes on misinterpretation of the science; others suggest various ways that philosophy can and should accommodate and sometimes yield to the empirical approach. The editors provide a substantial introduction which sets the scene historically and conceptually before summarizing the claims and arguments of the essays.","9780191648403, 019164840X",False,True,273,Philosophy,en,http://books.google.com/books/content?id=5u78AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=5u78AwAAQBAJ&source=gbs_api,2014,OUP Oxford
bf276c77-54f8-42e2-a5fe-4f20b9bea13e,fiction,Encyclopedia of the Novel,N/A,Paul Schellinger,"The Encyclopedia of the Novel is the first reference book that focuses on the development of the novel throughout the world. Entries on individual writers assess the place of that writer within the development of the novel form, explaining why and in exactly what ways that writer is importnant. Similarly, an entry on an individual novel discusses the importance of that novel not only form, analyzing the particular innovations that novel has introduced and the ways in which it has influenced the subsequent course of the genre. A wide range of topic entries explore the history, criticism, theory, production, dissemination and reception of the novel. A very important component of the Encyclopedia of the Novel is its long surveys of development of the novel in various regions of the world.","9781135918262, 1135918260",False,True,838,Literary Criticism,en,http://books.google.com/books/content?id=FPdRAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=FPdRAwAAQBAJ&source=gbs_api,2014,Routledge
7aad9c72-43b8-44a8-9027-2685e83df75c,fiction,Idealism,New Essays in Metaphysics,"Tyron Goldschmidt, Kenneth L. Pearce","Idealism is a family of metaphysical views each of which gives priority to the mental. The best-known forms of idealism in Western philosophy are Berkeleyan idealism, which gives ontological priority to the mental (minds and ideas) over the physical (bodies), and Kantian idealism, which gives a kind of explanatory priority to the mental (the structure of the understanding) over the physical (the structure of the empirical world). Although idealism was once a dominant view in Western philosophy, it has suffered almost total neglect over the last several decades. This book rectifies this situation by bringing together seventeen essays by leading philosophers on the topic of metaphysical idealism. The various essays explain, attack, or defend a variety of idealistic theories, including not only Berkeleyan and Kantian idealisms but also those developed in traditions less familiar to analytic philosophers, including Buddhism and Hassidic Judaism. Although a number of the articles draw on historical sources, all will be of interest to philosophers working in contemporary metaphysics. This volume aims to spark a revival of serious philosophical interest in metaphysical idealism.","9780198746973, 0198746970",False,True,314,Philosophy,en,http://books.google.com/books/content?id=j_pADwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=j_pADwAAQBAJ&dq=fiction&hl=&source=gbs_api,2017,Oxford University Press
8822c975-22d1-4130-a077-57da698d70a0,fiction,The Fictions of Translation,N/A,Judith Woodsworth,"In The Fictions of Translation, emerging and seasoned scholars from a range of cultures bring fresh perspectives to bear on the age-old practice of translation. The current movement of people, knowledge and goods around the world has made intercultural communication both prevalent and indispensable. Consequently, the translator has become a more prominent figure and translation an increasingly present theme in works of literature. Embedding translation in a fictional setting and considering its most extreme forms – pseudotranslation or self-translation, for example – are fruitful ways of conceptualizing the act of translating and extending the boundaries of translation studies. Taken together, the various translational fictions examined in this collection yield new insights into questions of displacement, migration and hybridity, all characteristic of the modern world. The Fictions of Translation will thus be of interest to practising translators, students and scholars of translation and literary studies, as well as a more general readership.","9789027264510, 9027264511",True,True,319,Language Arts & Disciplines,en,http://books.google.com/books/content?id=P0RJDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=P0RJDwAAQBAJ&source=gbs_api,2018,John Benjamins Publishing Company
5cfe3720-470c-4283-9e69-c919e6924c62,fiction,Truthful Fictions: Conversations with American Biographical Novelists,N/A,Michael Lackey,"In this new collection of interviews, some of America's most prominent novelists identify the key intellectual developments that led to the rise of the contemporary biographical novel, discuss the kind of historical 'truth' this novel communicates, indicate why this narrative form is superior to the traditional historical novel, and reflect on the ideas and characters central to their individual works. These interviews do more than just define an innovative genre of contemporary fiction. They provide a precise way of understanding the complicated relationship and pregnant tensions between contextualized thinking and historical representation, interdisciplinary studies and 'truth' production, and fictional reality and factual constructions. By focusing on classical and contemporary debates regarding the nature of the historical novel, this volume charts the forces that gave birth to a new incarnation of this genre.","9781623566159, 1623566150",True,True,386,Literary Criticism,en,http://books.google.com/books/content?id=a4nAAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=a4nAAgAAQBAJ&source=gbs_api,2014,Bloomsbury Publishing USA
39c1760d-6237-4a35-8225-3ca44e9f801e,fiction,Boys' Life,N/A,Unknown Author,"Boys' Life is the official youth magazine for the Boy Scouts of America. Published since 1911, it contains a proven mix of news, nature, sports, history, fiction, science, comics, and Scouting.",,False,True,64,N/A,en,http://books.google.com/books/content?id=cWYEAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=cWYEAAAAMBAJ&dq=fiction&hl=&source=gbs_api,1985,N/A
